#id;nome;marca;ano_de_lançamento;descrição
1;Golf;Volkswagen;2002;Azul Meia Noite
2;Civic;Honda;2015;Prata Metálico
3;Corolla;Toyota;2020;Branco Perolizado
4;Onix;Chevrolet;2018;Preto Sólido
5;HB20;Hyundai;2019;Vermelho Cristal
6;Compass;Jeep;2021;Cinza Boreal
7;Renegade;Jeep;2017;Verde Musgo
8;Hilux;Toyota;2014;Prata Alumínio
9;Argo;Fiat;2022;Azul Boreal
10;Mobi;Fiat;2021;Branco Alpino
11;Uno;Fiat;2010;Vermelho Sólido
12;Palio;Fiat;2005;Cinza Metálico
13;Celta;Chevrolet;2008;Preto Fosco
14;Fiesta;Ford;2012;Azul Turquesa
15;Focus;Ford;2014;Branco Giz
16;Fusion;Ford;2016;Preto Cadillac
17;Cruze;Chevrolet;2019;Cinza Grafite
18;Tracker;Chevrolet;2022;Azul Eclipse
19;T-Cross;Volkswagen;2021;Laranja Sahara
20;Nivus;Volkswagen;2023;Vermelho Sunset
21;Polo;Volkswagen;2018;Prata Sirius
22;Jetta;Volkswagen;2015;Branco Puro
23;Passat;Volkswagen;2012;Azul Marinho
24;Tiguan;Volkswagen;2020;Bege Duna
25;Amarok;Volkswagen;2017;Cinza Indium
26;Saveiro;Volkswagen;2015;Branco Cristal
27;Strada;Fiat;2021;Cinza Silverstone
28;Toro;Fiat;2019;Marrom Deep
29;S10;Chevrolet;2018;Branco Summit
30;Ranger;Ford;2020;Azul Belize
31;L200;Mitsubishi;2016;Prata Cool
32;Frontier;Nissan;2021;Preto Premium
33;Kwid;Renault;2022;Branco Marfim
34;Sandero;Renault;2015;Azul Iron
35;Logan;Renault;2014;Cinza Cassiopée
36;Duster;Renault;2018;Marrom Dakar
37;Captur;Renault;2019;Laranja Atacama
38;Oroch;Renault;2017;Verde Esmeralda
39;Creta;Hyundai;2021;Prata Silk
40;ix35;Hyundai;2015;Branco Polar
41;Santa Fe;Hyundai;2014;Preto Fantasma
42;Tucson;Hyundai;2013;Prata Metal
43;HR-V;Honda;2016;Vinho Tinto
44;City;Honda;2018;Cinza Moderno
45;Fit;Honda;2015;Azul Estelar
46;WR-V;Honda;2020;Branco Tafetá
47;Etios;Toyota;2014;Prata Moon
48;Yaris;Toyota;2019;Cinza Granito
49;SW4;Toyota;2018;Preto Attitude
50;Rav4;Toyota;2022;Azul Oceano
51;Golf;Volkswagen;2010;Preto Ninja
52;Civic;Honda;2008;Grafite Escuro
53;Corolla;Toyota;2005;Bege Champanhe
54;Onix;Chevrolet;2013;Laranja Solar
55;HB20;Hyundai;2014;Azul Sky
56;Compass;Jeep;2018;Branco Pérola
57;Renegade;Jeep;2019;Amarelo Mojave
58;Hilux;Toyota;2010;Branco Geada
59;Argo;Fiat;2018;Vermelho Montecarlo
60;Mobi;Fiat;2019;Preto Vulcano
61;Uno;Fiat;1995;Azul Royal
62;Palio;Fiat;1998;Verde Abacate
63;Celta;Chevrolet;2002;Prata Escovado
64;Fiesta;Ford;2004;Vermelho Bordeaux
65;Focus;Ford;2009;Preto Metálico
66;Fusion;Ford;2010;Branco Platinum
67;Cruze;Chevrolet;2014;Azul Petróleo
68;Tracker;Chevrolet;2015;Branco Neve
69;T-Cross;Volkswagen;2019;Azul Nordic
70;Nivus;Volkswagen;2021;Cinza Moonstone
71;Polo;Volkswagen;2003;Prata Reflex
72;Jetta;Volkswagen;2011;Preto Onix
73;Passat;Volkswagen;1999;Azul Noite
74;Tiguan;Volkswagen;2012;Marrom Metálico
75;Amarok;Volkswagen;2013;Branco Candy
76;Saveiro;Volkswagen;2010;Vermelho Flash
77;Strada;Fiat;2012;Verde Militar
78;Toro;Fiat;2016;Branco Ambiente
79;S10;Chevrolet;2010;Prata Switchblade
80;Ranger;Ford;2015;Cinza Magnetic
81;L200;Mitsubishi;2012;Preto Brilhante
82;Frontier;Nissan;2014;Branco Glacial
83;Kwid;Renault;2018;Laranja Ocre
84;Sandero;Renault;2011;Vermelho Vivo
85;Logan;Renault;2012;Bege Areia
86;Duster;Renault;2013;Verde Amazônia
87;Captur;Renault;2017;Branco Marfim
88;Oroch;Renault;2020;Cinza Steel
89;Creta;Hyundai;2017;Azul Safira
90;ix35;Hyundai;2018;Prata Platinum
91;Santa Fe;Hyundai;2010;Preto Ebano
92;Tucson;Hyundai;2010;Prata Sleek
93;HR-V;Honda;2022;Cinza Meteorito
94;City;Honda;2022;Branco Estelar
95;Fit;Honda;2007;Amarelo Solar
96;WR-V;Honda;2018;Vermelho Mercúrio
97;Etios;Toyota;2017;Preto Infinito
98;Yaris;Toyota;2022;Prata Supernova
99;SW4;Toyota;2021;Branco Lunar
100;Rav4;Toyota;2015;Cinza Chumbo
